symbol,name,market,latestClosingDate,c,c63,c126,c189,c252,is_valid
1301.T,極洋,プライム（内国株式）,1970-01-01,3825.0,3630.0,3655.0,3640.0,3540.0,1.0
1332.T,ニッスイ,プライム（内国株式）,1970-01-01,774.7000122070312,630.4000244140625,545.0,511.0,551.0,1.0
1333.T,マルハニチロ,プライム（内国株式）,1970-01-01,2574.5,2492.0,2450.0,2418.0,2499.0,1.0
1375.T,雪国まいたけ,プライム（内国株式）,1970-01-01,914.0,966.0,1045.0,992.0,995.0,1.0
1376.T,カネコ種苗,スタンダード（内国株式）,1970-01-01,1428.0,1479.0,1655.0,1397.0,1576.0,1.0
1377.T,サカタのタネ,プライム（内国株式）,1970-01-01,4180.0,3995.0,4105.0,4365.0,5010.0,1.0
1379.T,ホクト,プライム（内国株式）,1970-01-01,1835.0,1852.0,1876.0,1882.0,1909.0,1.0
1380.T,秋川牧園,スタンダード（内国株式）,1970-01-01,1048.0,1042.0,1060.0,1064.0,1066.0,1.0
1381.T,アクシーズ,スタンダード（内国株式）,1970-01-01,2996.0,3130.0,2900.0,2899.0,2997.0,1.0
1382.T,ホーブ,スタンダード（内国株式）,1970-01-01,1901.0,1805.0,1775.0,1973.0,2680.0,1.0
1383.T,ベルグアース,スタンダード（内国株式）,1970-01-01,3145.0,3075.0,3350.0,2835.0,2732.0,1.0
1384.T,ホクリヨウ,スタンダード（内国株式）,1970-01-01,1032.0,914.0,861.0,664.0,615.0,1.0
1400.T,ルーデン・ホールディングス,グロース（内国株式）,1970-01-01,127.0,120.0,149.0,112.0,127.0,1.0
1401.T,エムビーエス,グロース（内国株式）,1970-01-01,511.0,487.0,499.0,514.0,510.0,1.0
1407.T,ウエストホールディングス,スタンダード（内国株式）,1970-01-01,2852.0,2852.0,3200.0,4350.0,4340.0,1.0
1414.T,ショーボンドホールディングス,プライム（内国株式）,1970-01-01,5921.0,5813.0,5470.0,5800.0,5990.0,1.0
1417.T,ミライト・ワン,プライム（内国株式）,1970-01-01,1945.5,1771.0,1616.0,1497.0,1549.0,1.0
1418.T,インターライフホールディングス,スタンダード（内国株式）,1970-01-01,202.0,214.0,168.0,164.0,173.0,1.0
1419.T,タマホーム,プライム（内国株式）,1970-01-01,3570.0,3405.0,3460.0,2502.0,2334.0,1.0
1420.T,サンヨーホームズ,スタンダード（内国株式）,1970-01-01,724.0,707.0,767.0,702.0,707.0,1.0
1429.T,日本アクア,プライム（内国株式）,1970-01-01,1037.0,910.0,902.0,866.0,693.0,1.0
1430.T,ファーストコーポレーション,プライム（内国株式）,1970-01-01,773.0,806.0,796.0,715.0,739.0,1.0
1431.T,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,1970-01-01,796.0,807.0,809.0,811.0,872.0,1.0
1433.T,ベステラ,プライム（内国株式）,1970-01-01,1150.0,953.0,925.0,986.0,1116.0,1.0
1434.T,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,1970-01-01,649.0,500.0,466.0,446.0,460.0,1.0
1435.T,Ｒｏｂｏｔ　Ｈｏｍｅ,プライム（内国株式）,1970-01-01,214.0,190.0,194.0,176.0,187.0,1.0
1436.T,フィット,グロース（内国株式）,1970-01-01,869.0,877.0,725.0,696.0,735.0,1.0
1438.T,岐阜造園,スタンダード（内国株式）,1970-01-01,,,,,,
1439.T,安江工務店,スタンダード（内国株式）,1970-01-01,1259.0,997.0,1083.0,916.0,946.0,1.0
1443.T,技研ホールディングス,スタンダード（内国株式）,1970-01-01,222.0,222.0,237.0,216.0,219.0,1.0
1444.T,ニッソウ,グロース（内国株式）,1970-01-01,,,,,,
1446.T,キャンディル,スタンダード（内国株式）,1970-01-01,638.0,569.0,510.0,494.0,587.0,1.0
